wind_generation_mw,solar_generation_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,rmccp,rmpcp,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.0,0.0,5.913e-42,0.0,0.0,0.0,0.05950992,0.0,2.4e-44,0.0,0.0,0.11417895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021954115,0.0,1.902006e-32,0.0,0.0,0.0,0.012314424,6.6152336e-37
0.0,0.0,1e-45,0.0,0.0,0.0,0.058311064,0.0,0.0,0.0,0.0,0.11140689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021872412,0.0,2.861298e-35,0.0,0.0,0.0,0.011921648,4.42111e-40
0.0,0.0,0.0,0.0,0.0,0.0,0.05848771,0.0,0.0,0.0,0.0,0.109764956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022309715,0.0,2.3999148e-38,0.0,0.0,0.0,0.01230861,1.5e-43
0.0,0.0,0.0,0.0,0.0,0.0,0.0576138,0.0,0.0,0.0,0.0,0.1064225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021655837,0.0,1.0483e-41,0.0,0.0,0.0,0.011387282,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.057653688,0.0,0.0,0.0,0.0,0.104106195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021231348,0.0,3e-45,0.0,0.0,0.0,0.010915427,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.056454644,0.0,0.0,0.0,0.0,0.10172889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021071486,0.0,0.0,0.0,0.0,0.0,0.0113038365,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.055159796,0.0,0.0,0.0,0.0,0.09915268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019668354,0.0,0.0,0.0,0.0,0.0,0.011129362,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.054102473,0.0,0.0,0.0,0.0,0.09689134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02073173,0.0,0.0,0.0,0.0,0.0,0.010382646,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.053644236,0.0,0.0,0.0,0.0,0.09465046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019588418,0.0,0.0,0.0,0.0,0.0,0.010938973,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.05341601,0.0,0.0,0.0,0.0,0.09307354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019452535,0.0,0.0,0.0,0.0,0.0,0.010659233,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.052438878,0.0,0.0,0.0,0.0,0.090701565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019370282,0.0,0.0,0.0,0.0,0.0,0.01039056,0.0
