gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,rmccp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw,gross_inadv_interchange_mw
0.44086322,0.20089673,0.111870624,0.24502745,1.0,0.63647074,0.8830266,0.0,0.8035389,1.0,0.0,0.6112466,0.22712184,0.57112,0.0,1.0,0.41155937,0.5108007,0.26323342,0.5259682,0.51169884,0.0,0.25788093,0.3213029,0.20529893,0.5640351,0.49859226,0.58235246,0.804697,0.8052198,0.0,0.9056973,0.75628054,0.0,1.0,0.2415503,0.2950518,0.44351888,1.0,1.0
0.44723,0.197366,0.116651416,0.24953339,1.0,0.63734937,0.91726005,0.0,0.81716204,1.0,0.0,0.6330225,0.2194083,0.567892,0.0,1.0,0.4075533,0.5036032,0.26507804,0.5157825,0.5189969,0.0,0.26666093,0.3343172,0.20068006,0.55573344,0.5022431,0.56123096,0.8096071,0.80314183,0.0,0.9089765,0.77857876,0.0,1.0,0.24823302,0.28861624,0.4466639,1.0,1.0
0.43726397,0.19075142,0.11145777,0.23808198,1.0,0.65506613,0.9179437,0.0,0.8259904,1.0,0.0,0.6435356,0.21449785,0.5641212,0.0,1.0,0.41287327,0.52739704,0.24731718,0.52151346,0.5219853,0.0,0.26566952,0.3257531,0.19507729,0.5600629,0.5300954,0.55948424,0.812592,0.8184318,0.0,0.9124774,0.8033017,0.0,1.0,0.23919955,0.29941192,0.4553245,1.0,1.0
0.42531738,0.17462248,0.13800944,0.23851429,1.0,0.6587797,0.93951416,0.0,0.83425635,1.0,0.0,0.6656221,0.2070084,0.56591785,0.0,1.0,0.4115257,0.53492635,0.24231294,0.5059189,0.53956664,0.0,0.26417458,0.32777432,0.19261232,0.5651017,0.5210801,0.5646851,0.8422061,0.82487106,0.0,0.923525,0.8003597,0.0,1.0,0.24578296,0.29245937,0.4514035,1.0,1.0
0.42877075,0.1585102,0.12862596,0.22057985,1.0,0.66298866,0.9485055,0.0,0.8520647,1.0,0.0,0.68559766,0.19084819,0.5754282,0.0,1.0,0.4213455,0.5345195,0.23127572,0.49938193,0.5539933,0.0,0.27075428,0.32059908,0.19437662,0.5616999,0.515752,0.56953496,0.86002374,0.8258042,0.0,0.9341398,0.83394027,0.0,1.0,0.24343072,0.28134236,0.43988657,1.0,1.0
0.4343387,0.1735943,0.13129985,0.21079281,1.0,0.6694868,0.9543335,0.0,0.8878977,1.0,0.0,0.6976211,0.18863043,0.5881076,0.0,1.0,0.42158937,0.5402397,0.22560151,0.49539033,0.5473728,0.0,0.26984543,0.3200228,0.19063538,0.5662803,0.523946,0.56781024,0.86853087,0.83001274,0.0,0.9410546,0.8522338,0.0,1.0,0.24421112,0.2792696,0.45067373,1.0,1.0
0.433547,0.15520413,0.0992948,0.18522395,1.0,0.674999,0.952344,0.0,0.91424215,1.0,0.0,0.7074981,0.17116126,0.6031429,0.0,1.0,0.4241116,0.52915233,0.19794261,0.486904,0.5491266,0.0,0.27526918,0.319271,0.17848682,0.57783705,0.5281995,0.5787004,0.879217,0.8331412,0.0,0.9377135,0.870879,0.0,1.0,0.2283199,0.28079975,0.47435144,1.0,1.0
0.4331242,0.15630426,0.093558885,0.18183506,1.0,0.6764264,0.9905921,0.0,0.93121094,1.0,0.0,0.7122437,0.16731304,0.6057558,0.0,1.0,0.4081022,0.54409564,0.19156168,0.4954717,0.5627784,0.0,0.26644996,0.3080369,0.16499025,0.574285,0.53152204,0.5801547,0.893284,0.8679544,0.0,0.95691794,0.8962172,0.0,1.0,0.20100856,0.27170247,0.4564867,1.0,1.0
0.4458865,0.14981692,0.08819064,0.18330307,1.0,0.67997813,1.0,0.0,0.94671947,1.0,0.0,0.72788405,0.14958845,0.6053922,0.0,1.0,0.40535426,0.5380263,0.18716054,0.49592885,0.5613466,0.0,0.26810393,0.30420807,0.15411875,0.5978241,0.5325026,0.5828835,0.90311563,0.8782172,0.0,0.9703719,0.9208731,0.0,1.0,0.19996196,0.26943672,0.4560508,1.0,1.0
0.4593846,0.14128947,0.08663544,0.18801162,1.0,0.6906549,1.0,0.0,0.9471766,1.0,0.0,0.7467643,0.13832751,0.618748,0.0,1.0,0.40664887,0.5469795,0.18049414,0.4959759,0.56537265,0.0,0.26089686,0.2878822,0.13081719,0.5912407,0.535483,0.5862101,0.9123665,0.88513815,0.0,1.0,0.93033665,0.0,1.0,0.21274419,0.27413896,0.46525812,1.0,1.0
