epoch,feature_index,feature,gamma_index,gamma
3,30,rmpcp,1,0.9664717
3,30,rmpcp,2,0.9664717
3,31,gen_fuel_wind_pct,1,1.0126815
3,31,gen_fuel_wind_pct,2,1.0126815
3,32,gen_fuel_coal_mw,1,1.0456694
3,32,gen_fuel_coal_mw,2,1.0456694
3,33,wind_generation_mw,1,1.0070343
3,33,wind_generation_mw,2,1.0070343
3,34,gross_inadv_interchange_mw,1,0.9900022
3,34,gross_inadv_interchange_mw,2,0.9900022
3,35,gen_fuel_oil_mw,1,0.9342159
3,35,gen_fuel_oil_mw,2,0.9342159
3,36,da_as_mcp_primary_reserve,1,0.96692115
3,36,da_as_mcp_primary_reserve,2,0.96692115
3,37,total_pjm_rt_load_mwh,1,0.9889828
3,37,total_pjm_rt_load_mwh,2,0.9889828
3,38,metered_load_mw,1,0.9798045
3,38,metered_load_mw,2,0.9798045
3,39,forecast_load_mw_latest_available,1,0.95365316
3,39,forecast_load_mw_latest_available,2,0.95365316
3,40,prelim_load_avg_hourly,1,0.99614924
3,40,prelim_load_avg_hourly,2,0.99614924
3,41,gross_actual_interchange_mw,1,0.9507901
3,41,gross_actual_interchange_mw,2,0.9507901
3,42,gen_fuel_hydro_mw,1,0.96671337
3,42,gen_fuel_hydro_mw,2,0.96671337
3,43,total_pjm_loc_credit,1,0.9233494
3,43,total_pjm_loc_credit,2,0.9233494
3,44,total_losses,1,1.0755324
3,44,total_losses,2,1.0755324
3,45,net_inadv_interchange_mw,1,0.9340356
3,45,net_inadv_interchange_mw,2,0.9340356
3,46,da_as_nsr_mw_primary_reserve,1,0.9578693
3,46,da_as_nsr_mw_primary_reserve,2,0.9578693
3,47,total_pjm_self_sched_reg,1,0.9245786
3,47,total_pjm_self_sched_reg,2,0.9245786
3,48,da_as_ss_mw_synchronized_reserve,1,0.9576439
3,48,da_as_ss_mw_synchronized_reserve,2,0.9576439
3,49,da_as_ss_mw_thirty_minutes_reserve,1,0.9195744
3,49,da_as_ss_mw_thirty_minutes_reserve,2,0.9195744
3,50,da_as_ss_mw_primary_reserve,1,0.9522259
3,50,da_as_ss_mw_primary_reserve,2,0.9522259
3,51,gen_fuel_solar_mw,1,1.0117533
3,51,gen_fuel_solar_mw,2,1.0117533
3,52,gen_fuel_coal_pct,1,0.9803719
3,52,gen_fuel_coal_pct,2,0.9803719
3,53,congestion_price_rt,1,0.96792275
3,53,congestion_price_rt,2,0.96792275
3,54,da_as_mcp_synchronized_reserve,1,0.99193764
3,54,da_as_mcp_synchronized_reserve,2,0.99193764
3,55,congestion_price_da,1,0.91876036
3,55,congestion_price_da,2,0.91876036
4,1,da_as_as_mw_thirty_minutes_reserve,1,1.0114757
4,1,da_as_as_mw_thirty_minutes_reserve,2,1.0114757
4,2,da_as_total_mw_thirty_minutes_reserve,1,0.99804807
4,2,da_as_total_mw_thirty_minutes_reserve,2,0.99804807
4,3,gross_sched_interchange_mw,1,1.0638081
4,3,gross_sched_interchange_mw,2,1.0638081
4,4,gen_fuel_nuclear_mw,1,1.0066727
4,4,gen_fuel_nuclear_mw,2,1.0066727
4,5,gen_fuel_gas_mw,1,1.1246215
4,5,gen_fuel_gas_mw,2,1.1246215
4,6,da_as_as_req_mw_thirty_minutes_reserve,1,1.0108827
4,6,da_as_as_req_mw_thirty_minutes_reserve,2,1.0108827
4,7,da_as_as_req_mw_primary_reserve,1,0.9962896
4,7,da_as_as_req_mw_primary_reserve,2,0.9962896
4,8,da_as_as_req_mw_synchronized_reserve,1,1.0393354
4,8,da_as_as_req_mw_synchronized_reserve,2,1.0393354
4,9,total_pjm_assigned_reg,1,1.0573605
4,9,total_pjm_assigned_reg,2,1.0573605
4,10,da_as_as_mw_primary_reserve,1,0.9966988
4,10,da_as_as_mw_primary_reserve,2,0.9966988
4,11,da_as_total_mw_primary_reserve,1,0.9623362
4,11,da_as_total_mw_primary_reserve,2,0.9623362
4,12,da_as_as_mw_synchronized_reserve,1,0.9633058
4,12,da_as_as_mw_synchronized_reserve,2,0.9633058
4,13,total_pjm_reg_purchases,1,0.9782296
4,13,total_pjm_reg_purchases,2,0.9782296
4,14,gen_fuel_other_renewables_mw,1,0.9765827
4,14,gen_fuel_other_renewables_mw,2,0.9765827
4,15,total_lmp_da,1,1.0234209
4,15,total_lmp_da,2,1.0234209
4,16,total_pjm_rmpcp_cr,1,0.9974456
4,16,total_pjm_rmpcp_cr,2,0.9974456
4,17,forecast_load_mw_day_ahead,1,0.98505783
4,17,forecast_load_mw_day_ahead,2,0.98505783
4,18,total_pjm_rmccp_cr,1,0.9111809
4,18,total_pjm_rmccp_cr,2,0.9111809
4,19,gen_fuel_wind_mw,1,0.9771941
4,19,gen_fuel_wind_mw,2,0.9771941
4,20,da_as_total_mw_synchronized_reserve,1,1.0037875
4,20,da_as_total_mw_synchronized_reserve,2,1.0037875
4,21,system_energy_price_da,1,1.0809216
4,21,system_energy_price_da,2,1.0809216
4,22,gen_fuel_multiple_fuels_pct,1,0.97960365
