field,pearson,spearman,kendall,nmi,distance_corr,hsic,pearson_pass,spearman_pass,kendall_pass,nmi_pass,distance_corr_pass,hsic_pass,n_pass,kept,target
forecast_load_mw_latest_available,0.11078607619760648,0.08628264415388465,0.045731834671044476,0.021033619350236524,0.13361305859656394,0.018396630859356677,0,0,0,1,0,1,2,1,net_actual_interchange_mw
congestion_price_rt,0.1555681301296067,0.13048193456556495,0.09437200059746699,0.011205255372464,0.19700579256784506,0.0150113066964851,1,0,0,0,1,0,2,1,net_actual_interchange_mw
da_as_nsr_mw_primary_reserve,0.0628382759628591,0.07030477232490744,0.01767299683727072,0.037648372393995246,0.08507910568609751,0.004125851737840916,0,0,0,1,0,0,1,1,net_actual_interchange_mw
gross_actual_interchange_mw,0.04574366323817764,0.009658818994455703,0.014486746995184796,0.01812147022223792,0.12048108488795886,0.021071147415869906,0,0,0,0,0,1,1,1,net_actual_interchange_mw
gross_inadv_interchange_mw,0.14206157820267498,0.07549441228225678,0.05259429714857429,0.018777497565751148,0.14172998623667563,0.016078049414531802,1,0,0,0,0,0,1,1,net_actual_interchange_mw
total_pjm_rt_load_mwh,0.1100140647710735,0.08716329844122354,0.04629114557278639,0.019954846872969268,0.1331112343277126,0.017318184975694487,0,0,0,1,0,0,1,1,net_actual_interchange_mw
metered_load_mw,0.10623787243662856,0.08348631901708957,0.04360780390195097,0.019839389552018475,0.13065655329931736,0.017090063752127838,0,0,0,1,0,0,1,1,net_actual_interchange_mw
prelim_load_avg_hourly,0.10632002876844646,0.08326692988918812,0.04354481595281415,0.019869765486195803,0.13036956056156318,0.017005254374123008,0,0,0,1,0,0,1,1,net_actual_interchange_mw
gen_fuel_oil_pct,0.022324334884318828,0.09018653147996866,0.07473435007260115,0.02244405493675201,0.12124065626499585,0.01814169544922364,0,0,0,1,0,0,1,1,net_actual_interchange_mw
gen_fuel_nuclear_pct,0.10994609013852684,0.09962849816303569,0.06339861943240374,0.01789236551286336,0.15237796062595427,0.02091602940427037,0,0,0,0,0,1,1,1,net_actual_interchange_mw
gen_fuel_solar_mw,0.08698219954286977,0.013070311228195635,0.0014509408239758868,0.02424646928708671,0.09622274743826158,0.0076899406555985175,0,0,0,1,0,0,1,1,net_actual_interchange_mw
gen_fuel_oil_mw,0.04991953277362747,0.006578098261186857,0.016197641826222325,0.03631882399139641,0.09922184534685123,0.014323809701120502,0,0,0,1,0,0,1,1,net_actual_interchange_mw
da_as_ss_mw_primary_reserve,0.059651546264602305,0.07116308053451971,0.06391827770848761,0.018852981673221886,0.09341693099617536,0.009878447854926828,0,0,0,0,0,0,0,0,net_actual_interchange_mw
total_pjm_self_sched_reg,0.07017059935287724,0.09582242099674698,0.052984492246123054,0.012988845379179164,0.12172622918386104,0.017112119484892097,0,0,0,0,0,0,0,0,net_actual_interchange_mw
gen_fuel_solar_pct,0.054267125548679906,0.0270631003847558,0.012333487842945004,0.007452166406599426,0.0638226427412093,0.003968865569282592,0,0,0,0,0,0,0,0,net_actual_interchange_mw
gen_fuel_hydro_pct,0.08091386387534953,0.07964744525422832,0.05336766814185529,0.017590703293416766,0.09940244803805198,0.00858851137765905,0,0,0,0,0,0,0,0,net_actual_interchange_mw
